Sample,condition,group
18489_0,18489,0
18489_1,18489,1
18489_2,18489,2
18489_3,18489,3
18489_4,18489,4
18489_5,18489,5
18489_6,18489,6
18489_7,18489,7
18489_8,18489,8
18489_9,18489,9
18489_10,18489,10
18489_11,18489,11
18489_12,18489,12
18489_13,18489,13
18489_14,18489,14
18489_15,18489,15
18499_0,18499,0
18499_1,18499,1
18499_2,18499,2
18499_3,18499,3
18499_4,18499,4
18499_5,18499,5
18499_6,18499,6
18499_7,18499,7
18499_8,18499,8
18499_9,18499,9
18499_10,18499,10
18499_11,18499,11
18499_12,18499,12
18499_13,18499,13
18499_14,18499,14
18499_15,18499,15
18505_0,18505,0
18505_1,18505,1
18505_2,18505,2
18505_3,18505,3
18505_4,18505,4
18505_5,18505,5
18505_6,18505,6
18505_7,18505,7
18505_8,18505,8
18505_9,18505,9
18505_10,18505,10
18505_11,18505,11
18505_12,18505,12
18505_13,18505,13
18505_14,18505,14
18505_15,18505,15
18508_0,18508,0
18508_1,18508,1
18508_2,18508,2
18508_3,18508,3
18508_4,18508,4
18508_5,18508,5
18508_6,18508,6
18508_7,18508,7
18508_8,18508,8
18508_9,18508,9
18508_10,18508,10
18508_11,18508,11
18508_12,18508,12
18508_13,18508,13
18508_14,18508,14
18508_15,18508,15
18511_0,18511,0
18511_1,18511,1
18511_2,18511,2
18511_3,18511,3
18511_4,18511,4
18511_5,18511,5
18511_6,18511,6
18511_7,18511,7
18511_8,18511,8
18511_9,18511,9
18511_10,18511,10
18511_11,18511,11
18511_12,18511,12
18511_13,18511,13
18511_14,18511,14
18511_15,18511,15
18517_0,18517,0
18517_1,18517,1
18517_2,18517,2
18517_3,18517,3
18517_4,18517,4
18517_5,18517,5
18517_6,18517,6
18517_7,18517,7
18517_8,18517,8
18517_9,18517,9
18517_10,18517,10
18517_11,18517,11
18517_12,18517,12
18517_13,18517,13
18517_14,18517,14
18517_15,18517,15
18520_0,18520,0
18520_1,18520,1
18520_3,18520,3
18520_4,18520,4
18520_5,18520,5
18520_6,18520,6
18520_7,18520,7
18520_8,18520,8
18520_9,18520,9
18520_10,18520,10
18520_11,18520,11
18520_12,18520,12
18520_13,18520,13
18520_14,18520,14
18520_15,18520,15
18855_0,18855,0
18855_1,18855,1
18855_3,18855,3
18855_4,18855,4
18855_5,18855,5
18855_6,18855,6
18855_7,18855,7
18855_8,18855,8
18855_9,18855,9
18855_10,18855,10
18855_11,18855,11
18855_12,18855,12
18855_13,18855,13
18855_14,18855,14
18855_15,18855,15
18858_0,18858,0
18858_1,18858,1
18858_2,18858,2
18858_3,18858,3
18858_4,18858,4
18858_5,18858,5
18858_6,18858,6
18858_7,18858,7
18858_8,18858,8
18858_9,18858,9
18858_10,18858,10
18858_11,18858,11
18858_12,18858,12
18858_13,18858,13
18858_14,18858,14
18858_15,18858,15
18870_0,18870,0
18870_1,18870,1
18870_2,18870,2
18870_3,18870,3
18870_5,18870,5
18870_6,18870,6
18870_7,18870,7
18870_8,18870,8
18870_9,18870,9
18870_10,18870,10
18870_11,18870,11
18870_12,18870,12
18870_13,18870,13
18870_14,18870,14
18870_15,18870,15
18907_0,18907,0
18907_1,18907,1
18907_2,18907,2
18907_3,18907,3
18907_4,18907,4
18907_5,18907,5
18907_6,18907,6
18907_7,18907,7
18907_8,18907,8
18907_9,18907,9
18907_10,18907,10
18907_11,18907,11
18907_12,18907,12
18907_13,18907,13
18907_14,18907,14
18907_15,18907,15
18912_0,18912,0
18912_1,18912,1
18912_2,18912,2
18912_3,18912,3
18912_4,18912,4
18912_5,18912,5
18912_6,18912,6
18912_7,18912,7
18912_8,18912,8
18912_9,18912,9
18912_10,18912,10
18912_11,18912,11
18912_12,18912,12
18912_13,18912,13
18912_14,18912,14
18912_15,18912,15
19093_0,19093,0
19093_1,19093,1
19093_2,19093,2
19093_3,19093,3
19093_4,19093,4
19093_5,19093,5
19093_6,19093,6
19093_7,19093,7
19093_8,19093,8
19093_9,19093,9
19093_10,19093,10
19093_11,19093,11
19093_12,19093,12
19093_13,19093,13
19093_14,19093,14
19093_15,19093,15
19108_0,19108,0
19108_1,19108,1
19108_2,19108,2
19108_3,19108,3
19108_5,19108,5
19108_6,19108,6
19108_7,19108,7
19108_8,19108,8
19108_9,19108,9
19108_10,19108,10
19108_11,19108,11
19108_12,19108,12
19108_13,19108,13
19108_14,19108,14
19108_15,19108,15
19127_0,19127,0
19127_1,19127,1
19127_2,19127,2
19127_3,19127,3
19127_4,19127,4
19127_5,19127,5
19127_6,19127,6
19127_7,19127,7
19127_8,19127,8
19127_9,19127,9
19127_10,19127,10
19127_11,19127,11
19127_12,19127,12
19127_13,19127,13
19127_14,19127,14
19127_15,19127,15
19159_0,19159,0
19159_1,19159,1
19159_2,19159,2
19159_3,19159,3
19159_4,19159,4
19159_5,19159,5
19159_6,19159,6
19159_7,19159,7
19159_8,19159,8
19159_9,19159,9
19159_10,19159,10
19159_11,19159,11
19159_12,19159,12
19159_13,19159,13
19159_14,19159,14
19159_15,19159,15
19190_0,19190,0
19190_1,19190,1
19190_2,19190,2
19190_3,19190,3
19190_4,19190,4
19190_5,19190,5
19190_6,19190,6
19190_7,19190,7
19190_8,19190,8
19190_9,19190,9
19190_10,19190,10
19190_11,19190,11
19190_12,19190,12
19190_13,19190,13
19190_14,19190,14
19190_15,19190,15
19193_0,19193,0
19193_1,19193,1
19193_2,19193,2
19193_3,19193,3
19193_5,19193,5
19193_6,19193,6
19193_7,19193,7
19193_8,19193,8
19193_9,19193,9
19193_10,19193,10
19193_11,19193,11
19193_12,19193,12
19193_13,19193,13
19193_14,19193,14
19193_15,19193,15
19209_0,19209,0
19209_1,19209,1
19209_3,19209,3
19209_4,19209,4
19209_5,19209,5
19209_6,19209,6
19209_7,19209,7
19209_8,19209,8
19209_9,19209,9
19209_10,19209,10
19209_11,19209,11
19209_12,19209,12
19209_14,19209,14
19209_15,19209,15