gene_id,d2vd0,d4vd2,d6vd4,d15vd6,d20vd15,d40vd20,d60vd40
ENSG00000039537,0.0,0.0,0.0,4.584962500721156,1.3590810933048283,0.0242475462466772,1.2428565238961635
ENSG00000065609,1.065095028221885,-0.0540398397128891,0.9722015476564276,1.5868324880742024,0.4776639072087423,0.9348017340922228,1.6319284780574883
ENSG00000071991,0.0,0.0,0.0,0.0,2.584962500721156,5.364572432295856,0.7770238460879618
ENSG00000073282,0.0,0.0,0.0,1.0,3.700439718141092,2.4493074013635896,-0.1053530001462284
ENSG00000075426,0.1420190048724278,0.1565044856799909,0.5759456273637223,1.2750444235032108,1.0102418277498846,1.6585145863480837,-0.1370921395368608
ENSG00000078098,0.0,3.906890595608519,0.3625700793847081,2.516575525740906,3.171480467944354,0.7118746132033758,0.3980910974817601
ENSG00000080503,0.3582193672789994,2.230647587898073,0.1190719743650577,-0.1281988600111435,1.0013073811867863,1.4080373904330783,0.256989499217257
ENSG00000101605,0.0,1.9604716358133625,5.32817624255254,1.7652413218354208,-0.015489205970055,0.1992298663494343,0.5378692015227144
ENSG00000119636,2.1996723448363644,0.0949484040552627,1.3707151682935492,-0.0178774907302558,0.6608806036844871,0.2841180071286731,-0.0649800312076842
ENSG00000124429,1.584962500721156,1.0,0.0,3.321928094887362,0.7004397181410922,0.5923420310867537,0.5145731728297582
ENSG00000125695,0.0,0.0,0.0,0.0,0.0,0.0,6.845490050944375
ENSG00000129048,0.0,0.0,0.0,0.0,0.0,7.189824558880018,0.607993469376497
ENSG00000135604,0.0,1.0995356735509143,2.137503523749935,0.9442905674137124,1.0447383147652844,0.1977981791737351,0.0974537466167618
ENSG00000137752,0.0,0.0,0.0,4.169925001442312,3.363748270581989,1.4283721377804544,0.2341589164364051
ENSG00000144320,0.6363308918115606,0.1679446373140714,1.7194201645945948,0.5123783080610114,0.0823579847067997,-0.064468486054383,-0.1092249080003918
ENSG00000148516,1.92396410896746,1.74035618336698,0.7815813653891095,0.2365913806581439,0.050764447810232,0.299772142462136,0.4693759940179564
ENSG00000151418,0.0,0.0,0.0,0.0,0.0,0.0,6.285402218862249
ENSG00000154415,0.0,0.0,8.426264754702098,0.020878729675916,0.6550885871117986,0.5743932590109688,1.4893364013331796
ENSG00000162520,0.6629650127224295,0.506959988719883,0.602664502454615,1.3703684499451154,2.6296315500548846,1.6480725445757944,-0.1344893649508325
ENSG00000167244,0.0241460873317025,6.470814956244091,0.8092049266379605,0.8384042955448611,1.0964793435493825,0.7797139915862304,0.5394391149198275
ENSG00000168386,2.736965594166206,1.405992359675837,1.134200270925297,1.3505782996441078,1.8376031306857528,1.345588949840222,0.6301711909276171
ENSG00000171201,0.0,0.0,0.0,0.0,0.0,7.22881869049588,2.1515188863450563
ENSG00000177409,0.0,0.0,0.0,2.807354922057604,2.273018494406416,2.9299215642638594,-0.1296910766396369
ENSG00000180389,0.0,0.0,0.0,0.0,0.0,0.0,7.189824558880018
ENSG00000182255,3.584962500721156,2.423211430724544,0.0480942882010452,1.5928246184941268,0.927649155775316,1.8729694347864123,0.5400055980355392
ENSG00000186081,0.0,0.0,0.0,3.321928094887362,1.5849625007211563,4.824428435416546,-0.0596796847368014
ENSG00000186369,0.0,0.0,0.0,0.0,0.0,0.0,6.906890595608519
ENSG00000186847,0.0,0.0,0.0,0.0,0.0,6.599912842187128,1.6958082694094463
ENSG00000188831,0.0,0.0,0.0,0.0,0.0,0.0,6.169925001442312
ENSG00000198573,0.0,0.0,0.0,0.0,0.0,0.0,6.044394119358453
ENSG00000205420,0.0,0.0,0.0,0.0,0.0,3.700439718141092,2.584962500721156
ENSG00000205442,0.0,0.0,0.0,0.0,0.0,5.930737337562887,1.7151612238478575
ENSG00000206127,2.0,1.415037499278844,1.3219280948873624,2.584962500721156,0.5277376320282061,0.237797114334771,1.0035316909702532
ENSG00000207003,0.0,0.0,0.0,0.0,0.0,0.0,10.667111542075029
ENSG00000209082,0.0,0.0,0.0,0.0,0.0,0.0,15.673088192909365
ENSG00000210049,0.0,0.0,0.0,0.0,0.0,0.0,13.939579214314692
ENSG00000210107,0.0,0.0,0.0,0.0,0.0,0.0,17.07599090458348
ENSG00000210825,0.0,0.0,0.0,0.0,0.0,0.0,8.527477006060396
ENSG00000212443,0.0,0.0,0.0,0.0,0.0,5.832890014164742,0.0752881273042369
ENSG00000223458,0.0,0.0,0.0,0.0,0.0,0.0,7.330916878114617
ENSG00000223812,0.0,0.0,0.0,0.0,5.20945336562895,0.8300749985576877,0.0223678130284545
ENSG00000223918,0.0,0.0,0.0,0.0,0.0,0.0,6.149747119504682
ENSG00000224652,0.0,0.0,0.0,0.0,0.0,0.0,6.129283016944966
ENSG00000224818,0.0,0.0,0.0,0.0,0.0,0.0,6.658211482751795
ENSG00000225007,0.0,0.0,0.0,0.0,0.0,5.523561956057013,1.647698256069119
ENSG00000226140,0.0,0.0,0.0,0.0,0.0,0.0,6.247927513443585
ENSG00000226197,0.0,0.0,0.0,0.0,0.0,6.3750394313469245,0.4106323201588427
ENSG00000226306,0.0,1.584962500721156,0.0,4.614709844115208,3.846769603170948,0.703427479389532,1.0847991302940168
ENSG00000227730,0.0,0.0,0.0,0.0,0.0,4.459431618637297,1.6300503902496943
ENSG00000228007,0.0,0.0,0.0,0.0,0.0,0.0,7.149747119504682
ENSG00000228484,0.0,0.0,0.0,0.0,0.0,0.0,6.539158811108031
ENSG00000229497,0.0,0.0,0.0,0.0,0.0,0.0,6.409390936137702
ENSG00000229915,0.0,0.0,0.0,0.0,0.0,0.0,6.266786540694901
ENSG00000230109,0.0,0.0,0.0,0.0,4.459431618637297,0.2515387669959644,1.6599245584023783
ENSG00000230606,0.528219988935058,2.109422828462276,0.0350162918988067,-0.1087143898440671,0.6224458229742154,0.3587813724890292,0.930159557829518
ENSG00000231409,0.0,0.0,0.0,0.0,0.0,5.977279923499917,1.122619286663956
ENSG00000231521,0.0,0.0,0.0,0.0,0.0,0.0,6.584962500721156
ENSG00000231966,0.0,0.0,0.0,0.0,0.0,0.0,7.149747119504682
ENSG00000232878,0.0,0.0,0.0,0.0,0.0,3.906890595608519,4.342392197447078
ENSG00000233516,0.0,0.0,0.0,0.0,0.0,0.0,6.614709844115208
ENSG00000234553,0.0,0.0,0.0,0.0,0.0,0.0,6.700439718141092
ENSG00000234638,0.0,0.0,0.0,0.0,0.0,6.087462841250339,0.0631938264871938
ENSG00000235021,0.0,0.0,0.0,0.0,0.0,0.0,6.022367813028454
ENSG00000235118,0.0,0.0,0.0,0.0,0.0,4.392317422778761,2.9164766444377164
ENSG00000235279,0.0,0.0,0.0,0.0,0.0,0.0,5.930737337562887
ENSG00000235535,0.0,3.807354922057604,-0.115477217419936,7.588714635582264,1.4697281408122538,0.954181762470542,-0.0386880584395132
ENSG00000236012,0.0,0.0,0.0,0.0,0.0,0.0,7.199672344836364
ENSG00000236254,0.0,0.0,0.0,0.0,0.0,0.0,6.044394119358453
ENSG00000236509,0.0,0.0,0.0,0.0,4.321928094887363,0.2756344426134273,3.2246308935324475
ENSG00000236773,0.0,0.0,0.0,0.0,0.0,6.022367813028454,0.0443941193584534
ENSG00000237213,0.0,0.0,0.0,0.0,0.0,0.0,5.700439718141092
ENSG00000237585,0.0,0.0,0.0,0.0,0.0,0.0,6.507794640198696
ENSG00000239014,0.0,0.0,0.0,0.0,0.0,0.0,13.83605035505807
ENSG00000240499,0.0,0.0,0.0,0.0,0.0,0.0,6.321928094887363
ENSG00000244245,0.0,0.0,0.0,0.0,0.0,6.044394119358453,0.0861566437497142
ENSG00000246223,0.0,0.0,0.0,0.0,0.0,8.103287808412022,-0.0924075337666487
ENSG00000248479,0.0,0.0,0.0,0.0,0.0,5.906890595608519,1.083141235300246
ENSG00000251184,0.0,0.0,0.0,0.0,0.0,9.326429487122304,0.0178941213803974
ENSG00000252316,0.0,0.0,0.0,0.0,0.0,0.0,11.647008638441648
ENSG00000253105,0.0,0.0,0.0,0.0,4.584962500721156,1.851477475289912,1.5137038175513349
ENSG00000253607,0.0,0.0,0.0,0.0,0.0,0.0,7.108524456778169
ENSG00000254787,0.0,0.0,0.0,0.0,0.0,0.0,6.741466986401147
ENSG00000255038,4.0,1.180572245641821,0.0,0.4360991148066733,0.2043584985061863,0.2493594689367172,0.0888092669578559
ENSG00000255252,0.0,0.0,0.0,0.0,0.0,0.0,8.876516946565
ENSG00000255462,0.0,0.0,0.0,0.0,0.0,0.0,7.044394119358453
ENSG00000258066,0.0,0.0,0.0,0.0,0.0,0.0,7.339850002884624
ENSG00000258510,0.0,0.0,0.0,0.0,0.0,4.459431618637297,2.440572591385981
ENSG00000258751,0.0,0.0,0.0,0.0,0.0,6.066089190457772,0.494764691749578
ENSG00000259192,0.0,0.0,0.0,0.0,0.0,0.0,6.066089190457772
ENSG00000259285,0.0,0.0,0.0,3.169925001442312,1.8073549220576044,1.459431618637297,0.0907654639231822
ENSG00000259735,0.0,0.0,0.0,0.0,0.0,0.0,6.108524456778169
ENSG00000260492,0.0,0.0,0.0,4.754887502163468,0.2064508774674262,0.222392421336448,3.3464504140214317
ENSG00000260534,0.0,0.0,0.0,0.0,0.0,5.700439718141092,1.371968777386958
ENSG00000260784,0.0,0.0,0.0,0.0,0.0,0.0,6.129283016944966
ENSG00000260918,0.0,0.0,2.0,1.584962500721156,1.7369655941662063,1.7513208871432762,0.8093940673312027
ENSG00000261742,2.321928094887362,2.0,0.0874628412503394,-0.0874628412503394,0.0874628412503394,1.7454271729144022,0.796466605914868
ENSG00000263164,0.0,0.0,0.0,0.0,0.0,0.0,6.108524456778169
ENSG00000264940,0.0,0.0,0.0,0.0,0.0,5.392317422778761,1.423807708906576
ENSG00000266222,0.0,0.0,0.0,0.0,0.0,0.0,6.266786540694901
ENSG00000266931,0.0,0.0,0.0,0.0,0.0,0.0,8.257387842692651
ENSG00000267001,0.0,0.0,0.0,0.0,0.0,0.0,6.584962500721156
ENSG00000267379,0.0,0.0,0.0,0.0,0.0,0.0,5.857980995127572
ENSG00000267523,0.0,0.0,0.0,0.0,0.0,4.321928094887363,1.6828098241193006
ENSG00000268894,0.0,2.584962500721156,0.0,0.0,3.6322682154995127,2.9646669268877197,0.133704813529559
ENSG00000269873,0.0,0.0,0.0,0.0,4.954196310386875,1.2428565238961635,1.079071570991199
ENSG00000271334,0.0,0.0,0.0,3.700439718141092,1.3219280948873624,1.5025003405291832,0.2344652536370229
ENSG00000271787,0.0,0.0,0.0,0.0,0.0,4.643856189774724,1.7004397181410924
ENSG00000272321,0.0,0.0,0.0,0.0,0.0,5.491853096329675,0.9835118772114312
ENSG00000272368,-0.1375035237499347,1.765534746362977,0.0,0.7705181538772324,0.4995710094905115,0.2718046154615259,0.6090481192454693
ENSG00000272537,0.0,0.0,0.0,0.0,0.0,6.539158811108031,1.6159893963417806
ENSG00000272597,0.0,0.0,0.0,0.0,0.0,0.0,6.714245517666122
ENSG00000272861,0.0,0.0,0.0,0.0,0.0,4.906890595608519,1.072756342435314
ENSG00000273069,0.0,0.0,0.0,0.0,0.0,0.0,6.554588851677638
ENSG00000273177,0.0,0.0,0.0,0.0,0.0,4.754887502163468,1.0544477840223765
ENSG00000273272,0.0,0.0,0.0,0.0,0.0,0.0,6.108524456778169
ENSG00000273348,0.0,0.0,4.523561956057013,1.4474589769712212,0.632268215499513,0.8271634031377842,0.30610312772568
ENSG00000273532,0.0,0.0,0.0,0.0,0.0,0.0,15.63990591729448
ENSG00000273664,0.0,0.0,0.0,0.0,0.0,5.727920454563199,1.6745997132058326
ENSG00000274004,0.0,0.0,0.0,0.0,0.0,0.0,11.00562454919388
ENSG00000275266,0.0,0.0,0.0,0.0,0.0,0.0,15.63990591729448
ENSG00000275327,0.0,0.0,0.0,0.0,0.0,0.0,6.554588851677638
ENSG00000276409,0.0,0.0,0.0,0.0,0.0,5.523561956057013,0.289506617194985
ENSG00000277119,0.0,0.0,0.0,0.0,0.0,0.0,7.129283016944966
ENSG00000277701,1.6811778159804591,1.526930379349741,-0.0945456365070006,0.0891523777367821,0.5091596766433938,0.4663180042225371,0.4596814143336859
ENSG00000278009,0.0,0.0,0.0,0.0,0.0,0.0,9.204571144249204
ENSG00000278139,0.0,0.0,0.0,0.0,0.0,4.0,6.664862047895027
ENSG00000279375,0.0,0.0,0.0,0.0,0.0,0.0,5.930737337562887
ENSG00000279483,0.0,0.0,0.0,0.0,0.0,0.0,19.349425943806235
ENSG00000279795,0.0,0.0,0.0,0.0,0.0,4.906890595608519,0.8144443468439236
ENSG00000279976,0.0,0.0,0.0,0.0,0.0,0.0,5.930737337562887
ENSG00000280131,0.0,0.0,0.0,0.0,0.0,0.0,5.672425341971495
ENSG00000280778,0.0,0.0,0.0,0.0,0.0,0.0,8.774787059601174
ENSG00000282855,0.0,0.0,0.0,0.0,0.0,0.0,6.426264754702098
ENSG00000283029,0.0,0.0,0.0,0.0,0.0,0.0,10.881113960675096
ENSG00000283411,0.0,0.0,0.0,0.0,0.0,0.0,7.92481250360578
ENSG00000285117,0.0,0.0,0.0,0.0,0.0,6.584962500721156,0.5696957440678456
